round_num,par,distance,tee_x,tee_y,tee_z,pin_x,pin_y,pin_z,stimp
1,4,402,11811.7,9972.1,1545.1,11316.2,11062.4,1548.75,12.0
2,4,394,11810.9,9975.35,1545.11,11304.9,11029.8,1548.2,12.0
3,4,424,11813,9968.65,1545.09,11268.7,11106.5,1548.97,12.0
4,4,416,11809.1,9979.46,1545.15,11300.5,11110.7,1549.3,12.0
1,4,450,11130.6,11134.9,1550.99,11609.9,9872.45,1533.04,12.0
2,4,432,11130.5,11128.6,1550.98,11622.5,9928.79,1533,12.0
3,4,436,11132,11138.7,1550.96,11649.8,9938.82,1533.05,12.0
4,4,446,11131.3,11123.5,1550.93,11650.7,9889.3,1532.53,12.0
1,5,556,11413.2,10023.1,1538.79,9802.11,10388.4,1531.05,12.0
2,5,550,11415.6,10021.9,1538.78,9828.6,10390.4,1530.92,12.0
3,5,557,11422.7,10022,1538.75,9837.78,10423.5,1532.11,12.0
4,5,574,11424.6,10021.7,1538.74,9770.47,10421.3,1532.93,12.0
1,3,172,9622.27,10474.7,1540.38,9527.49,10984.2,1546.27,12.0
2,3,189,9623.52,10469.3,1540.4,9552.25,11032.7,1546.47,12.0
3,3,174,9649.31,10477.6,1540.38,9506.28,10979.6,1546.42,12.0
4,3,189,9648.38,10472.5,1540.31,9514.45,11025.1,1546.84,12.0
1,4,470,9688.73,11233.8,1549.7,8491.65,10490.2,1534.89,12.0
2,4,458,9693.19,11235.4,1549.68,8507.38,10541.6,1534.42,12.0
3,4,474,9685.57,11231.8,1549.73,8448.47,10526.5,1534.95,12.0
4,4,483,9698.05,11236.6,1549.64,8465.11,10475.6,1535.26,12.0
1,4,424,8265.08,10544.2,1537.07,9265.53,9804.55,1526.17,12.0
2,4,440,8269.51,10541.1,1537.04,9336.88,9878.2,1528.42,12.0
3,4,446,8261.62,10546.5,1537.13,9338.03,9836.41,1527.53,12.0
4,4,443,8273.54,10538,1537.06,9332.02,9796.65,1528.3,12.0
1,3,197,9395.73,10032.6,1527.7,9027.15,10497.6,1532.4,12.0
2,3,193,9391.72,10038.1,1527.72,9066.03,10518.8,1532.47,12.0
3,3,220,9439.29,9997.82,1529.91,9075.53,10551.6,1532.94,12.0
4,3,224,9442.02,9994.34,1529.88,9012.34,10513,1532.7,12.0
1,4,478,9136,10717.6,1539.77,10189.1,9773.07,1523.89,12.0
2,4,480,9131.35,10718.1,1539.79,10207,9799.69,1524.08,12.0
3,4,477,9127.8,10720.3,1539.78,10193,9806.06,1523.84,12.0
4,4,490,9140.43,10712.5,1539.95,10228.1,9758.04,1524.73,12.0
1,4,462,10168.7,9988.53,1535.61,11528.4,9712.87,1530.74,12.0
2,4,460,10164.8,9989.43,1535.56,11501.2,9664.44,1530.36,12.0
3,4,453,10162.7,9990.58,1535.56,11488.9,9700.27,1530.45,12.0
4,4,454,10173.5,9987.36,1535.61,11509.9,9725.23,1530.59,12.0
1,4,430,12056.9,9569.12,1544.64,11095.2,8837.27,1527.04,12.0
2,4,413,12057.2,9569.83,1544.67,11139.9,8887.67,1526.5,12.0
3,4,441,12060.6,9574.16,1544.7,11065.6,8856.09,1527.11,12.0
4,4,435,12061,9576.69,1544.73,11082.6,8900.7,1526.89,12.0
1,4,463,11021,9020.05,1532.03,9812.2,9675.49,1524.79,12.0
2,4,473,11025.1,9018.83,1531.99,9770.23,9662.94,1524.38,12.0
3,4,477,11028.4,9016.42,1531.98,9808.54,9722.72,1525.32,12.0
4,4,483,11029.5,9015.22,1531.96,9764.29,9695.73,1525.09,12.0
1,3,176,9599.89,9793.73,1530.52,9254.35,9392.64,1522.56,12.0
2,3,183,9561.2,9755.47,1527.94,9202.07,9338.4,1522.89,12.0
3,3,165,9564.27,9759.4,1527.96,9215.31,9405.96,1522.46,12.0
4,3,210,9608.95,9802.8,1530.56,9175.83,9344.05,1522.79,12.0
1,5,565,9071.33,9423.1,1529.42,7880.82,10585.7,1530.04,12.0
2,5,561,9065.45,9429.79,1529.43,7921.22,10645.6,1531.11,12.0
3,5,571,9062.62,9431.26,1529.43,7862.52,10617.6,1530.58,12.0
4,5,544,9066.25,9428.51,1529.43,7966.64,10615.1,1530.02,12.0
1,4,470,7713.33,10401.6,1527.67,8633.52,9385.45,1536.92,12.0
2,4,491,7711.33,10404.7,1527.7,8700.54,9381.22,1537.64,12.0
3,4,478,7704.6,10412.6,1527.68,8635.27,9369.13,1537.02,12.0
4,4,481,7709.36,10408,1527.69,8666.71,9390.25,1537.37,12.0
1,5,548,8683.92,9263.47,1538.16,10317.8,9096.14,1522.86,12.0
2,5,555,8693.69,9260.8,1538.15,10344.5,9062.02,1523.69,12.0
3,5,562,8693.64,9260.41,1538.16,10369.5,9100.55,1525.11,12.0
4,5,558,8718.64,9255.8,1536.81,10379.5,9054.15,1524.59,12.0
1,3,156,10376,8803.26,1531.63,10844.7,8827.52,1527.6,12.0
2,3,155,10391.9,8796.14,1531.69,10852.9,8869.06,1527.84,12.0
3,3,123,10455.5,8810.21,1530.02,10824.5,8833.75,1527.57,12.0
4,3,174,10366.9,8796.8,1531.54,10883.7,8882.53,1528.08,12.0
1,4,349,10824.4,8679.1,1532.3,11873.2,8673.45,1524.05,12.0
2,4,336,10835,8677.1,1532.26,11842.7,8616.14,1525.04,12.0
3,4,317,10843.1,8676.05,1532.29,11796.7,8689.3,1523.11,12.0
4,4,336,10832.2,8677.82,1532.29,11842.1,8646.45,1524.32,12.0
1,4,456,12052.2,8366.7,1528.93,12277.9,9702.39,1528.76,12.0
2,4,447,12051.4,8366.26,1528.89,12212.7,9671.03,1527.74,12.0
3,4,440,12048.3,8357.63,1528.59,12229.4,9643.21,1527.49,12.0
4,4,434,12050.7,8362.32,1528.67,12259.7,9631.2,1527.41,12.0
